106.15.137.41:7700|上海市|阿里云
124.88.73.78:8901|新疆维吾尔自治区|中国联通
112.105.10.153:8888|台湾省|台湾基础开发科技
124.88.73.78:8905|新疆维吾尔自治区|中国联通
111.193.227.239:8888|北京市|中国联通
101.20.75.10:4000|河北省|中国联通
220.171.169.67:18888|新疆维吾尔自治区|中国电信
113.15.245.19:8188|广西壮族自治区|中国电信
111.163.228.171:8888|天津市|中国联通
101.68.59.98:8188|浙江省|中国联通
111.194.9.191:8188|北京市|中国联通
113.83.144.125:8188|广东省|中国电信
101.20.77.48:4000|河北省|中国联通
113.83.147.75:8188|广东省|中国电信
113.110.77.154:8188|广东省|中国电信
113.77.25.109:8188|广东省|中国电信
114.245.176.43:8188|北京市|中国联通
114.246.102.1:5000|北京市|中国联通
113.205.161.234:8001|重庆市|中国联通
